AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
178,BD21-3,,,,,,near Salakudin,33.76,44.40,,,,,Iain Wilson (CSIRO PI),,,,,spring habit ,,,,
179,BD29-1,,,,,,Krym,44.52,33.56,260,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent PI 639818  winter habit ,,,,
180,BD30-1,,,,,,Dilar,36.99,-3.56,,,,,Iain Wilson (CSIRO PI),,,,,inbred line from single seed descent DSNSCA_6  spring habit ,,,,
181,MON2_004,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
182,CAS2003.16,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
183,MUR2-31,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
184,Men2029,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,derivative of Men2? Polyploid?,,,,
185,Abz1021,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,formerlyAbi1,,,,
186,Gal1015,,,,,,,,,,,,,,,,,,,,,,
187,ARN1018,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
188,Pal2032,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
189,BAR1020,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
190,BAN1012,,,,,,,,,,,,,,,,,,seeds from Iain Wilson empty,,,,
191,ABR1,,,,,,,,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
192,ABR2,,,,,,"Decon, Herault, France",43.60,3.26,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
193,ABR3,,,,,,"Hesca, Aisa, Spain",42.69,0.61,,,,,Richard Poire (CSIRO HRPPC),,,,,,,,,
194,ABR4,,,,,,"Hesca, Arens, Spain",40.99,-0.27,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
195,ABR5,,,,,,"Hesca, Jaca, Spain",42.57,-0.55,,,,,Richard Poire (CSIRO HRPPC),,,,,,,,,
196,ABR7,,,,,,"Valladolid, Otero, Spain",,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
197,ABR8,,,,,,"Siena, Italy",,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
198,ABR9,,,,,,"Ljubjana, Croatia",,,,,,,Iain Wilson (CSIRO PI),,,,,,,,,
199,Adi4,,,,,,,,,,,,,Richard Poire (CSIRO HRPPC),,,,,,,,,
200,Adi5,,,,,,,,,,,,,Richard Poire (CSIRO HRPPC),,,,,,,,,
201,Adi12,,,,,,,,,,,,,Richard Poire (CSIRO HRPPC),,,,,,,,,
